TICKER,Price,Shares,Div,Monthly,Total Price
AIYY,8.74,1000,0.87,870.00,8740.00
AMDY,10.37,1000,0.30,300.00,10370.00
CONY,13.79,1000,1.33,1330.00,13790.00
MRNY,5.12,1000,0.22,220.00,5120.00
MSTY,29.47,4200,3.08,12936.00,123774.00
NVDY,23.70,1400,1.18,1652.00,33180.00
TSLY,15.12,1000,1.28,1280.00,15120.00
ULTY,9.15,3000,0.70,2100.00,27450.00
YBIT,12.34,1000,0.70,700.00,12340.00
,,,,21388.00,249884.00
,,,,,
TICKER,Price,Shares,Div,Monthly,Total Price
MSTY,29.47,4200,3.08,12936.00,123774.00
CONY,13.79,6000,1.33,7980.00,82740.00
ULTY,9.15,4735,0.70,3314.50,43325.25
,,,,24230.50,249839.25
,,,,,
TICKER,PRICE,SHARES,DIV,MONTH,Total Cost
CONY,13.11,3145,1.33,4182.85,41230.95
MSTY,26.27,2755,3.08,8485.40,72373.85
ULTY,8.98,8100,0.70,5670.00,72738.00
,,,,18338.25,186342.80
,,,,,
TICKER,PRICE,SHARES,DIV,MONTH,Total Cost
CONY,13.11,950,1.33,1263.50,12454.50
MSTY,26.27,950,3.08,2926.00,24956.50
ULTY,8.98,950,0.70,665.00,8531.00
,,,,4854.50,45942.00
